,Marca,Modelo,Descrição,Valor,embedding_musical,categoria_musical,specs_musicais
0,DATREL,EXTENSOR,Barra p/ alinhar sub 50cm  ,84.94,CATEGORIA_MUSICAL: OUTROS || CONTEXTO: produto musical || MARCA: DATDL || MODELO: EXTENSOR || ESPECIFICACOES_MUSICAIS: DIMENSAO_INSTRUMENTO: 50 || DESCRICAO_MUSICAL: BARRA P ALINHAR SUB 50CM,OUTROS,{'DIMENSAO_INSTRUMENTO': ['50']}
1,DATREL,DA 4000,Regua de tomada padrão rack  4.000 W ind 127/220V,274.04,CATEGORIA_MUSICAL: INSTRUMENTO_PERCUSSAO_PELE || CONTEXTO: instrumento musical percussao pele bateria orquestra || MARCA: DATDL || MODELO: DA 4000 || DESCRICAO_MUSICAL: DGUA DE TOMADA PADRÃO RACK 4 000 W IND 127 220V,INSTRUMENTO_PERCUSSAO_PELE,{}
2,DATREL,DA 5000,Regua de tomada padrão rack  5.000 W ind 127/220V,294.5,CATEGORIA_MUSICAL: INSTRUMENTO_PERCUSSAO_PELE || CONTEXTO: instrumento musical percussao pele bateria orquestra || MARCA: DATDL || MODELO: DA 5000 || DESCRICAO_MUSICAL: DGUA DE TOMADA PADRÃO RACK 5 000 W IND 127 220V,INSTRUMENTO_PERCUSSAO_PELE,{}
3,DATREL,DA 8.150,"Caixa Passiva 8"" 150 W ",325.5,CATEGORIA_MUSICAL: OUTROS || CONTEXTO: produto musical || MARCA: DATDL || MODELO: DA 8 150 || DESCRICAO_MUSICAL: CAIXA PASBVA 8 150 W,OUTROS,{}
4,DATREL,MP 10.200,"Monitor passivo 10"" 200 W ",460.04,CATEGORIA_MUSICAL: EQUIPAMENTO_CAIXA_SOM || CONTEXTO: equipamento som audio caixa speaker || MARCA: DATDL || MODELO: MP 10 200 || DESCRICAO_MUSICAL: MONITOR PASBVO 10 200 W,EQUIPAMENTO_CAIXA_SOM,{}
5,DATREL,GUITAR 30,"Cubo de Guitarra 8"" 30 W ",472.44,CATEGORIA_MUSICAL: INSTRUMENTO_CORDA || CONTEXTO: instrumento musical corda orquestra camerata || MARCA: DATDL || MODELO: GUITAR 30 || DESCRICAO_MUSICAL: CUBO DE GUITARRA 8 30 W,INSTRUMENTO_CORDA,{}
6,DATREL,SL 200,"Caixa Passiva 10"" 200W ",532.58,CATEGORIA_MUSICAL: OUTROS || CONTEXTO: produto musical || MARCA: DATDL || MODELO: SL 200 || DESCRICAO_MUSICAL: CAIXA PASBVA 10 200W,OUTROS,{}
7,DATREL,PA 1.200,Amplificador de potenciatoca 4 AF 8” - SOW   ,571.64,CATEGORIA_MUSICAL: EQUIPAMENTO_AMPLIFICACAO || CONTEXTO: equipamento som audio amplificador potencia || MARCA: DATDL || MODELO: PA 1 200 || DESCRICAO_MUSICAL: AMPLIFICACR DE POTENCIATOCA 4 AF 8 - SOW,EQUIPAMENTO_AMPLIFICACAO,{}
8,DATREL,BAS60E,"Cubo Baixo 8"" - Estudo 8"" 60W ",573.5,CATEGORIA_MUSICAL: INSTRUMENTO_CORDA || CONTEXTO: instrumento musical corda orquestra camerata || MARCA: DATDL || MODELO: BAS60E || DESCRICAO_MUSICAL: CUBO BAIXO 8 - ESTUC 8 60W,INSTRUMENTO_CORDA,{}
9,DATREL,MP 12.250,"Monitor passivo 12"" 250 W ",590.86,CATEGORIA_MUSICAL: EQUIPAMENTO_CAIXA_SOM || CONTEXTO: equipamento som audio caixa speaker || MARCA: DATDL || MODELO: MP 12 250 || DESCRICAO_MUSICAL: MONITOR PASBVO 12 250 W,EQUIPAMENTO_CAIXA_SOM,{}
10,DATREL,SW 300,"Caixa Sub Woofer passivo 12"" 300 W ",659.68,CATEGORIA_MUSICAL: OUTROS || CONTEXTO: produto musical || MARCA: DATDL || MODELO: SW 300 || DESCRICAO_MUSICAL: CAIXA SUB WOOFER PASBVO 12 300 W,OUTROS,{}
11,DATREL,AT 8.150B,"Caixa Ativa 8"" 150 W bluetooth",670.22,CATEGORIA_MUSICAL: EQUIPAMENTO_CAIXA_SOM || CONTEXTO: equipamento som audio caixa speaker || MARCA: DATDL || MODELO: AT 8 150B || DESCRICAO_MUSICAL: CAIXA ATIVA 8 150 W BLUETOOTH,EQUIPAMENTO_CAIXA_SOM,{}
